,epoch_40/online_vs0,epoch_40/val_vs0_fqe,epoch_40/val_vs0_q,epoch_40/val_loss,alg,env,policy_level,n_trajectories,State,Created,Runtime,actor_lr,alpha,batch_size,cql_lagrange_thresh,cql_lr,cql_max_backup,cql_min_q_weight,cql_n_uniform_actions,cql_tau,cql_temp,cql_variant,critic_lr,device,gamma,n_gradient_steps,noise_clip,normalize_obs,policy_noise,policy_update_frequency,sac_alpha_tuning,sac_lr,seed,tau,gmm_num_modes,counts/num_batches,counts/num_epochs,counts/num_samples,loss/actor,loss/actor_bc,loss/actor_td3,loss/critic,cql/alpha,cql/loss/alpha,cql/loss/critic1/bellman,cql/loss/critic1/conservative,cql/loss/critic1/total,cql/loss/critic2/bellman,cql/loss/critic2/conservative,cql/loss/critic2/total,sac/alpha,sac/loss/actor,sac/loss/alpha,epoch_40/val_tderror
10,-241971.46480736273,-51540.546875,-3253.28515625,0.3925137221813202,cql,industrial,medium,9999,finished,2021-09-06T07:16:45.000Z,11310,,,512,-1.0,0.0003,True,5.0,10.0,0.005,1.0,kl,,cuda:2,0.9350308592370554,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,0.0,486.1068420410156,45.62890625,531.7357177734375,774.7999877929688,47.19140625,821.9913940429688,1.0,4206.08349609375,0.0,40329660.0
11,-255600.27877609155,-51587.5625,-2588.666259765625,0.2369532436132431,cql,industrial,medium,9999,finished,2021-09-06T07:05:17.000Z,11954,,,512,5.0,0.0003,True,10.0,10.0,0.01,1.0,kl,,cuda:4,0.9200248890778604,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-83.380859375,17455.857421875,79.7734375,17535.630859375,17425.048828125,86.98828125,17512.037109375,1.0,3437.972900390625,,40323084.0
12,-428781.53049272095,-51613.33984375,-4164.5712890625,0.4766850769519806,cql,industrial,medium,9999,finished,2021-09-06T06:53:08.000Z,12634,,,512,2.0,0.0001,True,5.0,10.0,0.01,1.0,kl,,cuda:1,0.9475158176653532,300000,,,,,False,0.0003,8800,,,,0,153600512,,,,,1.0,-49.0556640625,977.39501953125,49.486328125,1026.88134765625,987.0042114257812,48.625,1035.629150390625,1.0,5267.4541015625,,40251784.0
13,-622074.644182342,-51557.94140625,-4320.513671875,0.5494474172592163,cql,industrial,medium,9999,finished,2021-09-06T06:47:29.000Z,12010,,,512,5.0,0.0003,False,5.0,10.0,0.01,1.0,entropy,,cuda:0,0.9493874323654964,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-35.392578125,64153.10546875,37.84765625,64190.953125,63664.3203125,32.9375,63697.2578125,1.0,5434.10693359375,,39585184.0
14,-2588601.4711006004,-51546.32421875,-7791.59765625,0.865136981010437,cql,industrial,medium,9999,finished,2021-09-06T06:43:44.000Z,9469,,,256,2.0,0.0003,False,5.0,10.0,0.005,1.0,entropy,,cuda:3,0.9703587754609446,300000,,,,,True,0.0001,8800,,,,0,76800256,,,,,1.0,-54.814453125,285371.75,56.328125,285428.0625,284727.625,53.30078125,284780.9375,1.0,9153.908203125,0.0,39773328.0
15,-248476.6797726291,-51752.01171875,-2531.668212890625,0.4504243135452271,cql,industrial,medium,9999,finished,2021-09-06T04:38:31.000Z,8748,,,256,5.0,0.0003,True,10.0,10.0,0.01,1.0,entropy,,cuda:4,0.9175967862444991,300000,,,,,True,0.0003,8800,,,,0,76800256,,,,,1.0,-57.234375,512.3680419921875,56.43359375,568.8016357421875,472.77191162109375,58.03515625,530.8070678710939,1.0,3370.46533203125,0.0,39828676.0
16,-2617318.9615372904,-51581.26953125,-50382.4609375,1.1463460922241209,cql,industrial,medium,9999,finished,2021-09-06T04:35:47.000Z,9579,,,512,10.0,0.0003,False,5.0,10.0,0.005,1.0,entropy,,cuda:2,0.9950552262828876,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-122.1171875,6834.296875,129.0,6963.296875,6470.9189453125,115.234375,6586.1533203125,1.0,48802.6640625,,39113628.0
17,-491459.6764048958,-51563.515625,-7232.94384765625,0.7114500999450684,cql,industrial,medium,9999,finished,2021-09-06T04:26:40.000Z,8717,,,512,-1.0,0.0003,True,10.0,10.0,0.005,1.0,entropy,,cuda:1,0.9688327568612868,300000,,,,,False,0.001,8800,,,,0,153600512,,,,,1.0,0.0,1766.60400390625,111.578125,1878.18212890625,1615.42529296875,104.671875,1720.09716796875,1.0,8591.89453125,,39838480.0
18,-2600382.068454944,-51550.90625,-4499.1630859375,1.1981076002120972,cql,industrial,medium,9999,finished,2021-09-06T04:21:41.000Z,8398,,,256,2.0,0.001,False,5.0,10.0,0.01,1.0,entropy,,cuda:3,0.9525400095071788,300000,,,,,True,0.0001,8800,,,,0,76800256,,,,,1.0,-75.107421875,2158.754150390625,75.337890625,2234.092041015625,2417.416015625,74.876953125,2492.29296875,1.0,5571.76953125,0.0,37448932.0
19,-2647824.798171981,-51725.359375,-4574.85888671875,0.7728770971298218,cql,industrial,medium,9999,finished,2021-09-06T04:19:34.000Z,8807,,,256,10.0,0.0001,True,5.0,10.0,0.005,1.0,entropy,,cuda:0,0.9523216188451258,300000,,,,,True,0.001,8800,,,,0,76800256,,,,,1.0,-29.841796875,966.6029052734376,32.875,999.4779052734376,814.021240234375,26.80859375,840.829833984375,1.0,5634.142578125,0.0,40340928.0
20,-341925.7762942033,-44246.25390625,-10679.2509765625,0.10436984151601793,cql,industrial,low,9999,finished,2021-09-06T02:18:41.000Z,8159,,,256,5.0,0.0003,False,10.0,10.0,0.01,1.0,entropy,,cuda:2,0.978855229930808,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-21.4609375,451671.84375,21.5234375,451693.375,451762.875,21.3984375,451784.28125,1.0,11042.8310546875,,28060728.0
21,-261455.04695504962,-44279.79296875,-3073.558837890625,0.06399531662464142,cql,industrial,low,9999,finished,2021-09-06T02:03:41.000Z,8455,,,256,2.0,0.0001,True,10.0,10.0,0.01,1.0,entropy,,cuda:1,0.9333345263521488,300000,,,,,False,0.0003,8800,,,,0,76800256,,,,,1.0,-14.87890625,217.2791442871093,14.83203125,232.1111755371093,218.3432922363281,14.92578125,233.2690734863281,1.0,3443.05615234375,,28202754.0
22,-645823.775612102,-44137.82421875,-4278.81640625,0.2009052336215973,cql,industrial,low,9999,finished,2021-09-06T01:59:49.000Z,8450,,,256,10.0,0.0003,True,10.0,10.0,0.01,1.0,entropy,,cuda:3,0.9485179358634916,300000,,,,,False,0.001,8800,,,,0,76800256,,,,,1.0,-6.814453125,73481.796875,6.17578125,73487.96875,73503.9453125,7.453125,73511.3984375,1.0,4549.6904296875,,28388332.0
23,-844694.4945314799,-44130.93359375,-3259.662841796875,0.06819051504135132,cql,industrial,low,9999,finished,2021-09-06T01:58:34.000Z,8371,,,256,2.0,0.0001,False,5.0,10.0,0.01,1.0,kl,,cuda:0,0.9356366949051472,300000,,,,,True,0.0003,8800,,,,0,76800256,,,,,1.0,-20.453125,181.69830322265625,20.576171875,202.27447509765625,182.54425048828125,20.330078125,202.87432861328125,1.0,3633.4541015625,0.0,28422510.0
24,-248199.08420828907,-44110.9765625,-3858.884033203125,0.0729060024023056,cql,industrial,low,9999,finished,2021-09-06T01:44:21.000Z,10396,,,512,2.0,0.001,True,5.0,10.0,0.01,1.0,kl,,cuda:4,0.944977725481856,300000,,,,,True,0.0001,8800,,,,0,153600512,,,,,1.0,-18.3486328125,199.76333618164062,18.13671875,217.90005493164062,199.3631286621093,18.560546875,217.9236755371093,1.0,4200.32763671875,0.0,28424522.0
25,-704804.9039849069,-44144.9453125,-2454.969970703125,0.07589063048362732,cql,industrial,low,9999,finished,2021-09-05T23:30:39.000Z,8751,,,256,2.0,0.001,False,5.0,10.0,0.005,1.0,entropy,,cuda:0,0.9167904117277786,300000,,,,,False,0.0001,8800,,,,0,76800256,,,,,1.0,-10.16796875,171.1255340576172,9.83984375,180.9653778076172,193.54461669921875,10.49609375,204.04071044921875,1.0,2821.9541015625,,28284108.0
26,-244286.7551990329,-44099.0234375,-12492.94140625,0.06814797222614287,cql,industrial,low,9999,finished,2021-09-05T23:30:38.000Z,7952,,,256,-1.0,0.0001,True,5.0,10.0,0.005,1.0,kl,,cuda:4,0.9825630801668026,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,0.0,580527.4375,36.29296875,580563.75,580417.0625,36.515625,580453.5625,1.0,12510.931640625,0.0,28400954.0
27,-322588.5259130373,-44002.0,-10675.6435546875,0.09875724464654922,cql,industrial,low,9999,finished,2021-09-05T23:30:38.000Z,8847,,,256,10.0,0.0001,False,5.0,10.0,0.005,1.0,entropy,,cuda:3,0.9788914688492316,300000,,,,,False,0.0001,8800,,,,0,76800256,,,,,1.0,-8.712890625,643.0318603515625,8.16015625,651.1920166015625,577.501708984375,9.265625,586.767333984375,1.0,10799.296875,,28280532.0
28,-261971.29927662146,-44191.359375,-3274.133544921875,0.06883090734481813,cql,industrial,low,9999,finished,2021-09-05T23:30:38.000Z,9086,,,256,10.0,0.001,False,10.0,10.0,0.01,1.0,entropy,,cuda:1,0.9359171645462214,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-10.02734375,45403.859375,10.22265625,45414.08203125,45439.625,9.83203125,45449.45703125,1.0,3658.85986328125,0.0,28236962.0
29,-262902.41273546225,-44148.5,-2140.928955078125,0.06523405760526657,cql,industrial,low,9999,finished,2021-09-05T23:30:38.000Z,9989,,,512,5.0,0.0001,False,10.0,10.0,0.01,1.0,entropy,,cuda:2,0.904183958451077,300000,,,,,False,0.0003,8800,,,,0,153600512,,,,,1.0,-12.1669921875,166.39462280273438,12.25,178.64462280273438,164.3444061279297,12.083984375,176.4283905029297,1.0,2457.992919921875,,28166000.0
30,-314302.0070247234,-50165.109375,-4584.5146484375,0.23991504311561584,cql,industrial,high,999,finished,2021-09-05T19:48:04.000Z,9081,,,256,-1.0,0.0003,True,5.0,10.0,0.01,1.0,entropy,,cuda:4,0.9408120006703974,300000,,,,,False,0.001,8800,,,,0,76800256,,,,,1.0,0.0,148.8853759765625,17.99609375,166.8814697265625,146.09512329101562,18.046875,164.14199829101562,1.0,5438.9189453125,,53971016.0
